algorithm,type,scenario,n,run,time_ns,peak_dynamic_bytes
quicksort,unknown,asc,1000,14,1550600,0
mergesort,unknown,asc,1000,15,31400,8000
quicksort,unknown,asc,1000,15,1530100,0
mergesort,unknown,asc,1000,16,30900,8000
quicksort,unknown,asc,1000,16,1525100,0
mergesort,unknown,asc,1000,17,31600,8000
quicksort,unknown,asc,1000,17,1535700,0
mergesort,unknown,asc,1000,18,30800,8000
quicksort,unknown,asc,1000,18,1525000,0
mergesort,unknown,asc,1000,19,30900,8000
quicksort,unknown,asc,1000,19,1531300,0
mergesort,unknown,asc,1000,20,30900,8000
quicksort,unknown,asc,1000,20,1531300,0
mergesort,unknown,asc,1000,21,31300,8000
quicksort,unknown,asc,1000,21,1597500,0
mergesort,unknown,asc,1000,22,31200,8000
quicksort,unknown,asc,1000,22,1665100,0
mergesort,unknown,asc,1000,23,31600,8000
quicksort,unknown,asc,1000,23,1535800,0
mergesort,unknown,asc,1000,24,30200,8000
quicksort,unknown,asc,1000,24,1523100,0
mergesort,unknown,asc,1000,25,30500,8000
quicksort,unknown,asc,1000,25,1530800,0
mergesort,unknown,asc,1000,26,31900,8000
quicksort,unknown,asc,1000,26,1556100,0
mergesort,unknown,asc,1000,27,32000,8000
quicksort,unknown,asc,1000,27,1528000,0
mergesort,unknown,asc,1000,28,30500,8000
quicksort,unknown,asc,1000,28,1526900,0
mergesort,unknown,asc,1000,29,30600,8000
quicksort,unknown,asc,1000,29,1526700,0
mergesort,unknown,asc,1000,30,30500,8000
quicksort,unknown,asc,1000,30,1530000,0
mergesort,unknown,desc,1000,1,31700,8000
quicksort,unknown,desc,1000,1,1021800,0
mergesort,unknown,desc,1000,2,31300,8000
quicksort,unknown,desc,1000,2,995600,0
mergesort,unknown,desc,1000,3,30500,8000
quicksort,unknown,desc,1000,3,997500,0
mergesort,unknown,desc,1000,4,30500,8000
quicksort,unknown,desc,1000,4,993700,0
mergesort,unknown,desc,1000,5,30200,8000
quicksort,unknown,desc,1000,5,997500,0
mergesort,unknown,desc,1000,6,30500,8000
quicksort,unknown,desc,1000,6,1005400,0
mergesort,unknown,desc,1000,7,31100,8000
quicksort,unknown,desc,1000,7,1002800,0
mergesort,unknown,desc,1000,8,31000,8000
quicksort,unknown,desc,1000,8,998400,0
mergesort,unknown,desc,1000,9,30800,8000
quicksort,unknown,desc,1000,9,996100,0
mergesort,unknown,desc,1000,10,30800,8000
quicksort,unknown,desc,1000,10,1001100,0
mergesort,unknown,desc,1000,11,31400,8000
quicksort,unknown,desc,1000,11,997200,0
mergesort,unknown,desc,1000,12,30900,8000
quicksort,unknown,desc,1000,12,1001800,0
mergesort,unknown,desc,1000,13,31500,8000
quicksort,unknown,desc,1000,13,1006000,0
mergesort,unknown,desc,1000,14,31600,8000
quicksort,unknown,desc,1000,14,1002600,0
mergesort,unknown,desc,1000,15,30900,8000
quicksort,unknown,desc,1000,15,999500,0
mergesort,unknown,desc,1000,16,30900,8000
quicksort,unknown,desc,1000,16,997100,0
mergesort,unknown,desc,1000,17,30800,8000
quicksort,unknown,desc,1000,17,996700,0
mergesort,unknown,desc,1000,18,30600,8000
quicksort,unknown,desc,1000,18,998600,0
mergesort,unknown,desc,1000,19,31100,8000
quicksort,unknown,desc,1000,19,998300,0
mergesort,unknown,desc,1000,20,31400,8000
quicksort,unknown,desc,1000,20,1006600,0
mergesort,unknown,desc,1000,21,31300,8000
quicksort,unknown,desc,1000,21,1003000,0
mergesort,unknown,desc,1000,22,31400,8000
quicksort,unknown,desc,1000,22,999600,0
mergesort,unknown,desc,1000,23,30700,8000
quicksort,unknown,desc,1000,23,997500,0
mergesort,unknown,desc,1000,24,30600,8000
quicksort,unknown,desc,1000,24,1001100,0
mergesort,unknown,desc,1000,25,31900,8000
quicksort,unknown,desc,1000,25,1005400,0
mergesort,unknown,desc,1000,26,31100,8000
quicksort,unknown,desc,1000,26,1011300,0
mergesort,unknown,desc,1000,27,31300,8000
quicksort,unknown,desc,1000,27,1001900,0
mergesort,unknown,desc,1000,28,32400,8000
quicksort,unknown,desc,1000,28,1003500,0
mergesort,unknown,desc,1000,29,31300,8000
quicksort,unknown,desc,1000,29,1003700,0
mergesort,unknown,desc,1000,30,32500,8000
quicksort,unknown,desc,1000,30,1001400,0
mergesort,unknown,random,1000,1,75200,8000
quicksort,unknown,random,1000,1,63400,0
mergesort,unknown,random,1000,2,73500,8000
quicksort,unknown,random,1000,2,60800,0
mergesort,unknown,random,1000,3,73100,8000
quicksort,unknown,random,1000,3,60200,0
mergesort,unknown,random,1000,4,73600,8000
quicksort,unknown,random,1000,4,57200,0
mergesort,unknown,random,1000,5,73400,8000
quicksort,unknown,random,1000,5,66300,0
mergesort,unknown,random,1000,6,73100,8000
quicksort,unknown,random,1000,6,60700,0
mergesort,unknown,random,1000,7,75700,8000
quicksort,unknown,random,1000,7,60900,0
mergesort,unknown,random,1000,8,73400,8000
quicksort,unknown,random,1000,8,56700,0
mergesort,unknown,random,1000,9,74700,8000
quicksort,unknown,random,1000,9,63500,0
mergesort,unknown,random,1000,10,73900,8000
quicksort,unknown,random,1000,10,60500,0
mergesort,unknown,random,1000,11,74200,8000
quicksort,unknown,random,1000,11,59900,0
mergesort,unknown,random,1000,12,73600,8000
quicksort,unknown,random,1000,12,58000,0
mergesort,unknown,random,1000,13,74700,8000
quicksort,unknown,random,1000,13,60500,0
mergesort,unknown,random,1000,14,73000,8000
quicksort,unknown,random,1000,14,59900,0
mergesort,unknown,random,1000,15,73700,8000
quicksort,unknown,random,1000,15,59600,0
mergesort,unknown,random,1000,16,73500,8000
quicksort,unknown,random,1000,16,60600,0
mergesort,unknown,random,1000,17,74800,8000
quicksort,unknown,random,1000,17,60200,0
mergesort,unknown,random,1000,18,74400,8000
quicksort,unknown,random,1000,18,58200,0
mergesort,unknown,random,1000,19,76600,8000
quicksort,unknown,random,1000,19,58200,0
mergesort,unknown,random,1000,20,72500,8000
quicksort,unknown,random,1000,20,60500,0
mergesort,unknown,random,1000,21,75700,8000
quicksort,unknown,random,1000,21,60500,0
mergesort,unknown,random,1000,22,71900,8000
quicksort,unknown,random,1000,22,56900,0
mergesort,unknown,random,1000,23,73200,8000
quicksort,unknown,random,1000,23,57500,0
mergesort,unknown,random,1000,24,73100,8000
quicksort,unknown,random,1000,24,59000,0
mergesort,unknown,random,1000,25,73800,8000
quicksort,unknown,random,1000,25,60500,0
mergesort,unknown,random,1000,26,73000,8000
quicksort,unknown,random,1000,26,59500,0
mergesort,unknown,random,1000,27,75200,8000
quicksort,unknown,random,1000,27,63200,0
mergesort,unknown,random,1000,28,73600,8000
quicksort,unknown,random,1000,28,58900,0
mergesort,unknown,random,1000,29,73200,8000
quicksort,unknown,random,1000,29,58900,0
mergesort,unknown,random,1000,30,74300,8000
quicksort,unknown,random,1000,30,57000,0
mergesort,unknown,asc,2000,1,75700,16000
quicksort,unknown,asc,2000,1,6228500,0
mergesort,unknown,asc,2000,2,75500,16000
quicksort,unknown,asc,2000,2,6132100,0
mergesort,unknown,asc,2000,3,68300,16000
quicksort,unknown,asc,2000,3,6145700,0
mergesort,unknown,asc,2000,4,67700,16000
quicksort,unknown,asc,2000,4,6159200,0
mergesort,unknown,asc,2000,5,67200,16000
quicksort,unknown,asc,2000,5,6110800,0
mergesort,unknown,asc,2000,6,67700,16000
quicksort,unknown,asc,2000,6,6175800,0
mergesort,unknown,asc,2000,7,67200,16000
quicksort,unknown,asc,2000,7,6121900,0
mergesort,unknown,asc,2000,8,65300,16000
quicksort,unknown,asc,2000,8,6115200,0
mergesort,unknown,asc,2000,9,66100,16000
quicksort,unknown,asc,2000,9,6133200,0
mergesort,unknown,asc,2000,10,66700,16000
quicksort,unknown,asc,2000,10,6136800,0
mergesort,unknown,asc,2000,11,67800,16000
quicksort,unknown,asc,2000,11,6115000,0
mergesort,unknown,asc,2000,12,68000,16000
quicksort,unknown,asc,2000,12,6135600,0
mergesort,unknown,asc,2000,13,67500,16000
quicksort,unknown,asc,2000,13,6114000,0
mergesort,unknown,asc,2000,14,68400,16000
quicksort,unknown,asc,2000,14,6108100,0
mergesort,unknown,asc,2000,15,65600,16000
quicksort,unknown,asc,2000,15,6109100,0
mergesort,unknown,asc,2000,16,66100,16000
quicksort,unknown,asc,2000,16,6111100,0
mergesort,unknown,asc,2000,17,65700,16000
quicksort,unknown,asc,2000,17,6062800,0
mergesort,unknown,asc,2000,18,66000,16000
quicksort,unknown,asc,2000,18,6115500,0
mergesort,unknown,asc,2000,19,66400,16000
quicksort,unknown,asc,2000,19,6104800,0
mergesort,unknown,asc,2000,20,65900,16000
quicksort,unknown,asc,2000,20,6101400,0
mergesort,unknown,asc,2000,21,66400,16000
quicksort,unknown,asc,2000,21,6089400,0
mergesort,unknown,asc,2000,22,66000,16000
quicksort,unknown,asc,2000,22,6097400,0
mergesort,unknown,asc,2000,23,67900,16000
quicksort,unknown,asc,2000,23,6095500,0
mergesort,unknown,asc,2000,24,66900,16000
quicksort,unknown,asc,2000,24,6095700,0
mergesort,unknown,asc,2000,25,66200,16000
quicksort,unknown,asc,2000,25,6085000,0
mergesort,unknown,asc,2000,26,67000,16000
quicksort,unknown,asc,2000,26,6089100,0
mergesort,unknown,asc,2000,27,66600,16000
quicksort,unknown,asc,2000,27,6103600,0
mergesort,unknown,asc,2000,28,66400,16000
quicksort,unknown,asc,2000,28,6088700,0
mergesort,unknown,asc,2000,29,66200,16000
quicksort,unknown,asc,2000,29,6876800,0
mergesort,unknown,asc,2000,30,122600,16000
quicksort,unknown,asc,2000,30,7959500,0
mergesort,unknown,desc,2000,1,78500,16000
quicksort,unknown,desc,2000,1,4012200,0
mergesort,unknown,desc,2000,2,67500,16000
quicksort,unknown,desc,2000,2,3976500,0
mergesort,unknown,desc,2000,3,68300,16000
quicksort,unknown,desc,2000,3,3970900,0
mergesort,unknown,desc,2000,4,66000,16000
quicksort,unknown,desc,2000,4,3990700,0
